Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,PolicyNumber,RepNumber,Deductible,DriverRating,PoliceReportFiled,WitnessPresent,AgentType,BasePolicy,Fraud_Found
Dec,4,Tuesday,Honda,Rural,Monday,Jan,2,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,8700,8,400,2,No,No,External,Collision,0
Dec,4,Monday,Honda,Urban,Monday,Jan,1,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,8701,9,400,2,No,No,External,Collision,0
Dec,5,Thursday,Mazda,Urban,Tuesday,Jan,1,Male,Married,27,Third Party,Sedan - All Perils,Sedan,8702,10,400,2,No,No,External,All Perils,0
Dec,3,Monday,Pontiac,Urban,Monday,Jan,1,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,8703,12,400,1,No,No,External,All Perils,1
Dec,3,Monday,Saab,Urban,Wednesday,Dec,5,Male,Single,34,Policy Holder,Sedan - All Perils,Sedan,8704,15,400,2,No,No,External,All Perils,1
Dec,5,Thursday,Honda,Urban,Monday,Jan,1,Male,Married,46,Third Party,Sedan - All Perils,Sedan,8705,7,400,3,No,No,External,All Perils,0
Dec,5,Friday,Honda,Urban,Monday,Jan,1,Male,Married,30,Policy Holder,Sedan - Liability,Sport,8706,14,400,1,No,No,External,Liability,0
Jan,1,Saturday,Toyota,Urban,Tuesday,Jan,1,Male,Married,31,Policy Holder,Sedan - Liability,Sport,8707,16,400,3,No,No,External,Liability,0
Jan,1,Sunday,Honda,Urban,Monday,Jan,2,Female,Married,56,Policy Holder,Sedan - Liability,Sport,8708,15,400,4,No,No,External,Liability,0
Jan,1,Monday,Pontiac,Urban,Tuesday,Jan,1,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,8709,7,400,4,No,No,External,All Perils,0
Jan,1,Saturday,Pontiac,Urban,Thursday,Jan,2,Male,Married,38,Third Party,Sedan - All Perils,Sedan,8710,11,400,1,No,No,External,All Perils,0
Jan,1,Sunday,Pontiac,Rural,Thursday,Feb,1,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,8711,15,400,1,No,No,External,All Perils,0
Dec,5,Friday,Toyota,Urban,Monday,Jan,1,Female,Married,43,Third Party,Sedan - All Perils,Sedan,8712,10,700,2,No,No,External,All Perils,0
Jan,1,Monday,Pontiac,Urban,Monday,Jan,1,Male,Single,26,Policy Holder,Sedan - Liability,Sport,8713,14,400,2,No,No,External,Liability,0
Jan,1,Tuesday,Toyota,Urban,Friday,Jan,2,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,8714,12,400,2,No,No,External,All Perils,0
Dec,3,Tuesday,Toyota,Urban,Tuesday,Dec,4,Male,Single,22,Policy Holder,Sedan - Liability,Sport,8715,6,400,3,No,No,External,Liability,1
Jan,1,Thursday,Mazda,Urban,Friday,Jan,2,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,8716,14,400,4,No,No,External,Collision,0
Jan,1,Thursday,Chevrolet,Urban,Saturday,Jan,2,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,8717,3,400,2,No,No,External,All Perils,0
Jan,2,Monday,Porche,Urban,Monday,Jan,4,Male,Single,44,Policy Holder,Sedan - Liability,Sport,8718,14,400,1,No,No,External,Liability,0
Jan,2,Tuesday,Saturn,Urban,Friday,Jan,3,Male,Single,26,Policy Holder,Sedan - Liability,Sport,8719,10,400,4,No,No,External,Liability,0
Jan,2,Sunday,Toyota,Urban,Tuesday,Jan,2,Male,Married,47,Third Party,Sedan - All Perils,Sedan,8720,11,400,4,No,No,External,All Perils,0
Jan,2,Sunday,Chevrolet,Urban,Monday,Jan,2,Male,Married,77,Third Party,Sedan - Liability,Sport,8721,9,400,3,No,No,Internal,Liability,0
Jan,2,Wednesday,Pontiac,Urban,Friday,Jan,4,Male,Single,61,Policy Holder,Utility - All Perils,Utility,8722,16,500,3,No,No,External,All Perils,0
Jan,2,Wednesday,Toyota,Urban,Monday,Jan,3,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,8723,1,400,4,No,No,External,All Perils,0
Jan,3,Saturday,Honda,Urban,Monday,Jan,3,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,8724,14,400,2,No,No,External,Collision,0
Jan,3,Monday,Honda,Urban,Monday,Jan,3,Male,Married,38,Policy Holder,Sedan - Liability,Sport,8725,12,400,3,No,No,External,Liability,0
Jan,3,Wednesday,Honda,Urban,Thursday,Jan,3,Male,Single,33,Third Party,Sedan - Collision,Sedan,8726,1,400,1,No,No,External,Collision,0
Jan,3,Wednesday,Chevrolet,Urban,Wednesday,Jan,3,Female,Married,47,Policy Holder,Sedan - Liability,Sport,8727,10,400,1,No,No,External,Liability,0
Jan,4,Monday,Pontiac,Urban,Monday,Jan,4,Female,Married,33,Policy Holder,Sedan - Liability,Sport,8728,5,400,1,No,No,External,Liability,0
Jan,4,Saturday,Chevrolet,Urban,Monday,Jan,4,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,8729,9,400,3,No,No,External,Collision,0
Jan,5,Saturday,Accura,Urban,Monday,Feb,2,Male,Married,72,Policy Holder,Utility - All Perils,Utility,8730,10,400,4,No,No,External,All Perils,0
Jan,5,Sunday,Honda,Urban,Thursday,Feb,1,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,8731,6,400,4,No,No,External,Collision,0
Feb,1,Tuesday,Mazda,Urban,Thursday,Feb,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,8732,6,400,4,No,No,External,Collision,0
Feb,3,Wednesday,Honda,Urban,Friday,Feb,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,8733,9,400,1,No,No,External,Liability,0
Feb,3,Wednesday,Toyota,Urban,Friday,Feb,3,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,8734,3,400,1,No,No,External,All Perils,0
Dec,3,Tuesday,Toyota,Rural,Tuesday,Dec,3,Female,Married,31,Third Party,Sedan - Collision,Sedan,8735,6,400,2,No,No,External,Collision,0
Dec,3,Tuesday,Mazda,Urban,Monday,Jan,1,Male,Married,29,Third Party,Sedan - All Perils,Sedan,8736,16,400,1,No,No,External,All Perils,0
Jan,1,Monday,Pontiac,Urban,Monday,Jan,4,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,8737,9,400,3,No,No,External,All Perils,0
Jan,1,Thursday,Chevrolet,Urban,Monday,Jan,2,Male,Married,53,Policy Holder,Sedan - Liability,Sport,8738,12,400,2,No,No,External,Liability,0
Jan,1,Friday,Ford,Urban,Monday,Jan,2,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,8739,6,400,3,No,No,External,Collision,0
Jan,1,Friday,Pontiac,Urban,Monday,Jan,2,Male,Married,51,Third Party,Sedan - All Perils,Sedan,8740,13,400,1,No,No,External,All Perils,0
Jan,1,Thursday,Pontiac,Urban,Tuesday,Jan,4,Male,Single,25,Policy Holder,Sedan - All Perils,Sedan,8741,13,400,2,No,No,External,All Perils,0
Dec,4,Wednesday,Honda,Urban,Thursday,Jan,2,Female,Married,51,Third Party,Sedan - Collision,Sedan,8742,1,400,1,No,No,External,Collision,0
Jan,2,Monday,Toyota,Urban,Wednesday,Jan,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,8743,16,700,1,No,No,External,Collision,0
Jan,2,Monday,Toyota,Urban,Wednesday,Mar,2,Male,Single,54,Policy Holder,Sedan - Collision,Sedan,8744,9,400,2,No,No,External,Collision,0
Jan,2,Sunday,Honda,Urban,Wednesday,Jan,2,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,8745,13,400,4,No,No,External,All Perils,0
Jan,2,Wednesday,Toyota,Urban,Friday,Jan,2,Female,Single,28,Policy Holder,Sedan - Collision,Sedan,8746,7,400,4,No,No,External,Collision,0
Jan,2,Wednesday,Honda,Urban,Wednesday,Jan,2,Male,Married,40,Policy Holder,Sedan - Liability,Sport,8747,10,400,2,No,No,External,Liability,0
Dec,4,Thursday,Toyota,Urban,Thursday,Dec,5,Female,Married,37,Policy Holder,Sedan - Collision,Sedan,8748,14,400,3,Yes,No,External,Collision,1
Jan,2,Friday,Mazda,Urban,Friday,Jan,3,Male,Married,39,Third Party,Sedan - Collision,Sedan,8749,4,400,4,No,No,External,Collision,0
Jan,3,Monday,Pontiac,Urban,Wednesday,Jan,3,Male,Single,26,Policy Holder,Sedan - Liability,Sport,8750,2,400,1,No,No,External,Liability,0
Jan,3,Thursday,Pontiac,Urban,Thursday,Jan,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,8751,3,400,4,No,No,External,Liability,0
Jan,3,Thursday,Toyota,Urban,Saturday,Jan,4,Male,Married,40,Third Party,Sedan - All Perils,Sedan,8752,11,400,2,No,No,External,All Perils,0
Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Married,26,Third Party,Sedan - Collision,Sedan,8753,8,400,3,No,No,External,Collision,0
Jan,4,Friday,Toyota,Urban,Wednesday,Feb,1,Male,Married,62,Policy Holder,Sedan - Liability,Sport,8754,3,400,4,No,No,External,Liability,0
Dec,4,Thursday,Toyota,Urban,Monday,Jan,4,Male,Married,30,Third Party,Sedan - All Perils,Sedan,8755,10,400,1,No,No,External,All Perils,0
Feb,1,Saturday,Honda,Urban,Friday,Feb,2,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,8756,16,400,3,No,No,External,All Perils,0
Feb,2,Friday,Toyota,Urban,Monday,Feb,2,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,8757,1,400,3,No,No,External,All Perils,0
Feb,2,Thursday,Toyota,Urban,Wednesday,Feb,3,Female,Married,51,Policy Holder,Sedan - All Perils,Sedan,8758,7,400,3,No,No,External,All Perils,0
Feb,2,Monday,Mazda,Urban,Tuesday,Feb,3,Female,Single,52,Policy Holder,Sedan - Collision,Sedan,8759,6,400,3,No,No,External,Collision,0
Feb,4,Tuesday,Pontiac,Urban,Friday,Feb,4,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,8760,16,400,3,No,No,External,Collision,0
Nov,2,Wednesday,Honda,Urban,Thursday,Nov,2,Male,Single,54,Third Party,Sedan - Collision,Sedan,8761,12,400,3,No,No,External,Collision,0
Sep,4,Friday,Mazda,Rural,Tuesday,Sep,4,Female,Married,31,Policy Holder,Sedan - Liability,Sport,8762,10,400,4,No,No,External,Liability,0
Sep,4,Thursday,Pontiac,Urban,Friday,Sep,5,Male,Single,33,Third Party,Sedan - All Perils,Sedan,8763,11,400,1,No,No,External,All Perils,0
Apr,2,Tuesday,Mazda,Urban,Tuesday,Apr,3,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,8764,1,400,4,No,No,External,Collision,0
Feb,4,Wednesday,Pontiac,Urban,Monday,Mar,3,Female,Married,36,Policy Holder,Sedan - Collision,Sedan,8765,6,400,4,No,No,External,Collision,0
Feb,4,Thursday,Ford,Urban,Friday,Feb,4,Male,Single,32,Policy Holder,Sedan - Liability,Sport,8766,12,400,3,No,No,External,Liability,0
Feb,4,Tuesday,Honda,Urban,Wednesday,Feb,4,Male,Single,34,Policy Holder,Sedan - Liability,Sport,8767,16,400,1,No,No,External,Liability,0
Feb,3,Sunday,Toyota,Urban,Monday,Feb,3,Female,Single,32,Policy Holder,Sedan - All Perils,Sedan,8768,6,400,4,No,No,External,All Perils,0
Feb,3,Monday,Pontiac,Urban,Friday,Feb,4,Male,Single,31,Policy Holder,Sedan - Liability,Sport,8769,16,400,3,No,No,External,Liability,0
Dec,4,Friday,Pontiac,Urban,Wednesday,Jan,2,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,8770,7,400,4,No,No,External,All Perils,1
Feb,3,Friday,Nisson,Urban,Wednesday,Mar,1,Male,Married,28,Policy Holder,Sedan - Liability,Sport,8771,4,400,4,No,No,External,Liability,0
Feb,3,Sunday,Pontiac,Urban,Friday,Feb,4,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,8772,2,400,2,No,No,External,Collision,0
Feb,3,Saturday,Toyota,Urban,Monday,Feb,3,Male,Married,48,Policy Holder,Sedan - Liability,Sport,8773,9,500,4,No,No,External,Liability,0
Feb,2,Monday,Chevrolet,Rural,Thursday,Feb,3,Male,Single,24,Policy Holder,Sedan - Collision,Sedan,8774,8,400,3,No,No,External,Collision,0
Feb,3,Tuesday,Mercury,Urban,Monday,Feb,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,8775,11,400,2,No,No,External,Collision,0
Feb,2,Friday,Mazda,Urban,Friday,Feb,2,Male,Single,40,Policy Holder,Sedan - Collision,Sedan,8776,11,400,2,No,No,External,Collision,0
Feb,2,Tuesday,Toyota,Urban,Monday,Feb,2,Female,Married,42,Policy Holder,Sedan - Collision,Sedan,8777,14,400,2,No,No,External,Collision,0
Feb,2,Wednesday,Mazda,Urban,Thursday,Feb,2,Male,Single,48,Policy Holder,Sedan - Liability,Sport,8778,15,400,3,No,No,External,Liability,0
Feb,1,Saturday,Dodge,Urban,Wednesday,Feb,2,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,8779,9,400,2,No,No,External,Collision,0
Jan,4,Wednesday,Pontiac,Rural,Tuesday,Feb,2,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,8780,1,400,2,No,No,External,All Perils,0
Jan,3,Thursday,Mazda,Urban,Friday,Jan,3,Female,Married,26,Policy Holder,Sedan - All Perils,Sedan,8781,7,400,4,No,No,External,All Perils,0
Jan,2,Thursday,Honda,Urban,Saturday,Jan,3,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,8782,3,400,1,No,No,External,Collision,0
Jan,2,Monday,Pontiac,Urban,Wednesday,Mar,1,Male,Married,72,Policy Holder,Sedan - All Perils,Sedan,8783,6,400,3,No,No,External,All Perils,0
Dec,4,Tuesday,Toyota,Urban,Thursday,Feb,4,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,8784,2,400,4,No,No,External,All Perils,0
Dec,4,Saturday,Toyota,Urban,Thursday,Feb,2,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,8785,8,400,4,No,No,External,All Perils,1
Oct,1,Saturday,Toyota,Urban,Monday,Oct,1,Female,Single,27,Third Party,Sedan - Collision,Sedan,8786,5,400,2,No,Yes,External,Collision,0
Mar,2,Monday,Honda,Urban,Wednesday,Mar,2,Female,Single,30,Policy Holder,Sedan - Liability,Sport,8787,7,400,1,No,No,External,Liability,0
Feb,4,Monday,Mazda,Urban,Tuesday,Feb,4,Male,Married,41,Third Party,Sedan - Liability,Sport,8788,16,400,3,No,No,External,Liability,0
Feb,4,Monday,Pontiac,Urban,Monday,Feb,4,Female,Married,46,Policy Holder,Sedan - Liability,Sport,8789,1,400,1,No,No,External,Liability,0
Feb,3,Thursday,Chevrolet,Urban,Friday,Feb,3,Female,Married,28,Third Party,Sedan - Liability,Sport,8790,12,400,1,No,No,External,Liability,0
Feb,3,Tuesday,Pontiac,Urban,Tuesday,Mar,1,Female,Married,54,Policy Holder,Sedan - Collision,Sedan,8791,16,400,4,No,No,External,Collision,0
Feb,2,Wednesday,Ford,Urban,Friday,Feb,2,Male,Married,62,Policy Holder,Sedan - All Perils,Sedan,8792,15,400,3,No,No,External,All Perils,0
Feb,2,Monday,Pontiac,Urban,Tuesday,Feb,2,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,8793,4,400,4,No,No,External,All Perils,0
Jan,5,Monday,Pontiac,Urban,Thursday,Feb,1,Female,Single,29,Third Party,Sedan - Collision,Sedan,8794,4,400,1,No,No,External,Collision,0
Jan,5,Monday,Toyota,Urban,Tuesday,Feb,3,Female,Married,39,Third Party,Sedan - All Perils,Sedan,8795,8,400,2,No,No,External,All Perils,0
Jan,5,Saturday,Chevrolet,Urban,Wednesday,Feb,2,Male,Married,79,Third Party,Sedan - All Perils,Sedan,8796,1,400,3,No,No,External,All Perils,0
Jan,5,Friday,Mazda,Urban,Friday,Jan,5,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,8797,14,400,3,No,No,External,Collision,0
Jan,4,Wednesday,Pontiac,Urban,Wednesday,Jan,4,Male,Single,46,Third Party,Sedan - Collision,Sedan,8798,9,400,2,No,No,External,Collision,0
Jan,4,Wednesday,Pontiac,Urban,Wednesday,Jan,4,Male,Single,29,Policy Holder,Sedan - Liability,Sport,8799,14,400,2,No,No,External,Liability,0
Jan,4,Friday,Toyota,Urban,Friday,Jan,4,Male,Married,28,Third Party,Sedan - Liability,Sport,8800,15,400,1,No,No,External,Liability,0
Jan,3,Saturday,Mercury,Urban,Monday,Jan,3,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,8801,4,400,4,No,No,External,All Perils,0
Jan,2,Wednesday,Mazda,Urban,Wednesday,Jan,2,Female,Single,54,Policy Holder,Sedan - Collision,Sedan,8802,11,400,2,No,No,External,Collision,0
Jan,2,Sunday,Honda,Urban,Wednesday,Jan,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,8803,14,400,1,No,No,External,Liability,0
Jan,1,Wednesday,Pontiac,Urban,Monday,Jan,3,Female,Single,33,Third Party,Sedan - Liability,Sport,8804,7,400,4,No,No,External,Liability,0
Jan,1,Saturday,Pontiac,Rural,Friday,May,3,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,8805,9,700,2,No,No,External,Collision,0
Dec,3,Saturday,Mazda,Urban,Thursday,Jan,4,Male,Single,41,Policy Holder,Sedan - Liability,Sport,8806,11,400,2,No,No,External,Liability,0
Jun,2,Saturday,Pontiac,Urban,Monday,Jun,4,Male,Married,64,Policy Holder,Sedan - Liability,Sport,8807,9,400,4,No,No,External,Liability,0
Feb,3,Monday,Pontiac,Urban,Friday,Feb,3,Male,Married,52,Third Party,Sedan - All Perils,Sedan,8808,14,400,3,No,No,External,All Perils,0
Mar,1,Wednesday,Pontiac,Urban,Wednesday,Mar,1,Male,Single,35,Policy Holder,Sedan - Liability,Sport,8809,3,400,2,No,No,External,Liability,0
Feb,3,Sunday,Pontiac,Urban,Thursday,Feb,4,Female,Single,35,Policy Holder,Sedan - Liability,Sport,8810,6,400,1,No,No,External,Liability,0
Mar,5,Tuesday,Toyota,Urban,Monday,Apr,1,Male,Married,34,Third Party,Sedan - All Perils,Sedan,8811,15,400,3,No,No,External,All Perils,0
Mar,4,Tuesday,Mazda,Urban,Tuesday,Mar,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,8812,2,400,1,No,No,External,Liability,0
Jun,2,Friday,Pontiac,Urban,Friday,Jun,2,Female,Single,38,Policy Holder,Sedan - Liability,Sport,8813,11,400,3,No,No,External,Liability,0
Nov,4,Friday,Honda,Urban,Tuesday,Dec,2,Male,Married,28,Policy Holder,Sedan - Liability,Sport,8814,10,400,2,No,No,External,Liability,0
Oct,4,Monday,Pontiac,Urban,Tuesday,Nov,3,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,8815,9,400,3,No,No,External,All Perils,0
Jun,3,Thursday,Pontiac,Urban,Thursday,Jun,3,Male,Single,46,Third Party,Sedan - Collision,Sedan,8816,15,400,3,No,No,External,Collision,0
Mar,1,Wednesday,Mazda,Urban,Wednesday,Mar,1,Male,Married,33,Third Party,Sedan - Collision,Sedan,8817,2,400,2,No,No,External,Collision,0
Dec,4,Sunday,Pontiac,Rural,Wednesday,Dec,5,Male,Single,25,Third Party,Sedan - Collision,Sedan,8818,1,400,2,No,No,External,Collision,0
Apr,1,Thursday,Mazda,Urban,Wednesday,Apr,3,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,8819,12,400,3,No,No,External,Collision,0
Jul,1,Monday,Pontiac,Urban,Monday,Jul,2,Male,Married,49,Policy Holder,Sedan - Liability,Sport,8820,2,400,4,No,No,External,Liability,0
Aug,2,Friday,Mazda,Urban,Tuesday,Aug,4,Male,Married,40,Third Party,Sedan - All Perils,Sedan,8821,4,400,3,No,No,External,All Perils,0
Aug,2,Wednesday,Toyota,Urban,Monday,Nov,1,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,8822,2,400,3,Yes,No,External,Collision,0
Aug,3,Saturday,Mazda,Urban,Friday,Sep,1,Male,Married,33,Policy Holder,Sedan - Liability,Sport,8823,6,400,3,No,No,External,Liability,0
Feb,4,Wednesday,Honda,Urban,Wednesday,Mar,2,Male,Single,36,Policy Holder,Sedan - Collision,Sedan,8824,8,500,2,No,No,External,Collision,0
Mar,3,Thursday,Pontiac,Urban,Wednesday,Aug,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,8825,3,400,2,No,No,External,Liability,0
Apr,5,Saturday,Toyota,Urban,Thursday,May,1,Male,Married,47,Policy Holder,Sedan - Liability,Sport,8826,13,400,3,No,No,External,Liability,0
Apr,4,Friday,Toyota,Urban,Friday,Apr,4,Male,Married,53,Third Party,Sedan - Liability,Sport,8827,12,400,1,No,No,External,Liability,0
Apr,4,Sunday,Toyota,Urban,Tuesday,May,1,Male,Single,24,Policy Holder,Sedan - All Perils,Sedan,8828,6,400,4,No,No,External,All Perils,0
Apr,2,Thursday,Toyota,Urban,Wednesday,Apr,2,Male,Married,51,Policy Holder,Sedan - Liability,Sport,8829,9,400,4,No,No,External,Liability,0
May,5,Saturday,Chevrolet,Rural,Thursday,Jun,1,Male,Married,60,Third Party,Sedan - All Perils,Sedan,8830,12,400,4,No,No,External,All Perils,0
Dec,4,Sunday,Honda,Urban,Monday,Feb,1,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,8831,12,400,1,No,No,External,Collision,1
Jul,4,Wednesday,Pontiac,Urban,Wednesday,Jul,4,Male,Married,51,Policy Holder,Sedan - Liability,Sport,8832,16,400,4,No,No,External,Liability,0
Jul,2,Friday,Chevrolet,Urban,Monday,Aug,1,Male,Single,25,Policy Holder,Sedan - Collision,Sedan,8833,11,400,3,No,No,External,Collision,0
Oct,3,Saturday,Pontiac,Urban,Thursday,Jan,4,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,8834,5,400,1,No,No,External,Collision,0
Oct,3,Friday,Mazda,Urban,Friday,Oct,4,Female,Married,36,Policy Holder,Sedan - All Perils,Sedan,8835,4,400,2,No,No,External,All Perils,0
Dec,2,Thursday,Honda,Rural,Tuesday,Dec,2,Male,Married,40,Third Party,Sedan - Collision,Sedan,8836,13,700,4,No,No,External,Collision,0
Feb,3,Tuesday,Toyota,Urban,Tuesday,Feb,5,Female,Married,47,Policy Holder,Sedan - Liability,Sport,8837,8,400,1,No,No,External,Liability,0
Apr,4,Tuesday,VW,Urban,Friday,Jun,1,Female,Single,30,Policy Holder,Sedan - Liability,Sport,8838,4,400,1,No,No,External,Liability,0
Apr,3,Friday,Pontiac,Urban,Tuesday,Apr,3,Female,Married,37,Third Party,Sedan - All Perils,Sedan,8839,7,400,3,No,No,External,All Perils,0
Dec,4,Monday,Toyota,Urban,Tuesday,Jan,1,Female,Married,26,Third Party,Sedan - All Perils,Sedan,8840,13,400,2,No,No,External,All Perils,0
Apr,3,Saturday,Honda,Urban,Tuesday,Apr,3,Male,Married,73,Policy Holder,Sedan - Liability,Sport,8841,16,400,1,No,No,External,Liability,0
Jul,1,Thursday,Toyota,Urban,Friday,Jul,2,Male,Married,46,Third Party,Sedan - All Perils,Sedan,8842,4,400,2,No,No,External,All Perils,0
Aug,2,Saturday,Pontiac,Urban,Wednesday,Aug,4,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,8843,9,400,2,No,No,External,All Perils,0
Jul,4,Wednesday,Toyota,Urban,Tuesday,Aug,2,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,8844,8,400,4,No,No,External,All Perils,0
Apr,5,Thursday,Toyota,Urban,Wednesday,May,2,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,8845,4,400,1,No,No,External,All Perils,0
Dec,4,Monday,Pontiac,Urban,Thursday,Dec,5,Male,Single,22,Policy Holder,Sedan - All Perils,Sedan,8846,13,400,4,No,No,External,All Perils,1
Apr,4,Tuesday,Pontiac,Urban,Tuesday,Apr,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,8847,14,400,3,No,No,External,Liability,0
Apr,4,Thursday,VW,Urban,Monday,Apr,4,Male,Single,28,Third Party,Sedan - Liability,Sport,8848,14,400,1,No,No,External,Liability,0
Dec,4,Monday,Honda,Urban,Wednesday,Jan,1,Male,Single,26,Third Party,Sedan - All Perils,Sedan,8849,11,400,3,No,No,External,All Perils,0
Jul,5,Saturday,Pontiac,Urban,Tuesday,Aug,1,Male,Single,30,Policy Holder,Sedan - Liability,Sport,8850,7,400,2,No,No,External,Liability,0
Jul,4,Wednesday,Toyota,Urban,Thursday,Jul,5,Female,Single,78,Third Party,Sedan - All Perils,Sedan,8851,4,400,3,No,No,External,All Perils,0
Dec,4,Tuesday,Honda,Urban,Wednesday,Dec,5,Male,Married,37,Third Party,Sedan - All Perils,Sedan,8852,13,400,2,No,No,External,All Perils,0
Sep,3,Thursday,Ford,Urban,Friday,Sep,3,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,8853,2,400,4,No,No,External,Collision,0
Sep,2,Friday,Chevrolet,Urban,Friday,Sep,3,Female,Divorced,32,Policy Holder,Sedan - Collision,Sedan,8854,2,400,3,No,No,External,Collision,0
Dec,4,Tuesday,Pontiac,Urban,Tuesday,Jan,1,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,8855,5,400,4,No,No,External,All Perils,1
Dec,4,Tuesday,Pontiac,Urban,Wednesday,Feb,2,Female,Married,38,Third Party,Sedan - Collision,Sedan,8856,9,400,3,No,No,External,Collision,0
Apr,5,Friday,Pontiac,Urban,Tuesday,May,3,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,8857,7,400,1,No,No,External,Collision,0
Aug,2,Tuesday,Saab,Urban,Friday,Aug,3,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,8858,8,400,4,No,No,External,Collision,0
Jul,2,Sunday,Chevrolet,Urban,Monday,Jul,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,8859,3,400,4,No,No,External,Liability,0
Jul,2,Saturday,Toyota,Urban,Monday,Jul,2,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,8860,10,400,4,No,No,External,Collision,0
Dec,4,Tuesday,Chevrolet,Urban,Tuesday,Dec,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,8861,11,400,4,No,No,External,Liability,0
Nov,5,Wednesday,Pontiac,Urban,Friday,Dec,1,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,8862,4,400,4,No,No,External,All Perils,0
Apr,3,Friday,Pontiac,Urban,Thursday,Apr,4,Female,Married,44,Third Party,Sedan - Collision,Sedan,8863,9,400,4,No,No,External,Collision,0
Jun,1,Saturday,Accura,Urban,Wednesday,Jun,2,Male,Married,38,Policy Holder,Utility - All Perils,Utility,8864,9,400,3,No,No,External,All Perils,0
Jun,1,Thursday,Toyota,Urban,Friday,Jun,1,Male,Single,29,Third Party,Sedan - Collision,Sedan,8865,11,400,4,No,No,External,Collision,0
Jun,1,Friday,Pontiac,Urban,Tuesday,Jun,2,Male,Married,31,Third Party,Sedan - Collision,Sedan,8866,8,400,2,No,No,External,Collision,0
Jul,1,Wednesday,Mazda,Urban,Thursday,Jul,2,Male,Married,28,Policy Holder,Sedan - Liability,Sport,8867,16,400,3,No,No,External,Liability,0
Oct,2,Monday,Honda,Urban,Tuesday,Oct,2,Male,Single,32,Policy Holder,Sedan - Liability,Sport,8868,10,400,1,No,No,External,Liability,0
Sep,1,Monday,VW,Urban,Tuesday,Sep,1,Male,Single,20,Policy Holder,Sedan - Liability,Sport,8869,10,400,1,No,No,External,Liability,0
Oct,1,Wednesday,Toyota,Urban,Friday,Nov,1,Male,Single,46,Policy Holder,Sedan - All Perils,Sedan,8870,5,400,1,Yes,No,External,All Perils,0
